Identifiant,Année_naissance,Education,Situation_matrimoniale,Revenu,Enfant_charge,Ado_charge,Date_acquisition_client,Nombre_jours_depuis_dernier_achat,Montant_vin,Montant_fruits,Montant_viande,Montant_poisson,Montant_sucreries,Montant_luxe,Nb_achats_promo,Achats_en_ligne,Achats_catalogue,Achats_magasin,Nb_visites_web_mois,Accepte_Campagne_3,Accepte_Campagne_4,Accepte_Campagne_5,Accepte_Campagne_1,Accepte_Campagne_2,Reclamation_client,Z_CostContact,Z_Revenue,Response,Nb_achats_total,Depense_totale,Recence_jours,Tenure_jours,Nb_categories_achetees,R_score,F_score,M_score,RFM_score
5081,1967,2n Cycle,Together,47821.0,1,1,,54,9.0,0.0,16.0,6.0,6.0,10.0,1,1,0,3,8,0,0,0,0,0,0,3.0,11.0,0,4,47.0,54,,5,3,1,1,311
5123,1951,Master,Married,27450.0,0,0,,57,37.0,12.0,23.0,8.0,11.0,52.0,1,2,1,3,7,0,0,0,0,0,0,3.0,11.0,0,6,143.0,57,,6,3,2,2,322
5756,1983,Graduation,Together,39453.0,1,0,2014-03-04,64,46.0,0.0,7.0,0.0,0.0,2.0,2,2,0,3,6,0,0,0,0,0,0,3.0,11.0,0,5,55.0,64,4244.0,3,2,1,1,211
8036,1971,2n Cycle,Together,26850.0,1,1,,10,31.0,1.0,13.0,7.0,2.0,9.0,4,2,1,4,4,0,0,0,0,0,0,3.0,11.0,0,7,63.0,10,,6,5,2,2,522
9058,1955,Graduation,Widow,79800.0,0,0,,65,1060.0,21.0,530.0,32.0,0.0,224.0,1,5,11,5,3,1,0,1,1,0,0,3.0,11.0,1,21,1867.0,65,,5,2,5,5,255
5057,1961,Master,Married,61794.0,0,1,,74,264.0,47.0,188.0,54.0,47.0,11.0,2,4,4,10,2,0,0,0,0,0,0,3.0,11.0,0,18,611.0,74,,6,2,4,3,243
254,1955,Graduation,Together,53863.0,0,1,,4,399.0,4.0,30.0,6.0,4.0,30.0,3,7,1,7,7,0,1,0,0,0,0,3.0,11.0,0,15,473.0,4,,6,5,3,3,533
4179,1959,Graduation,Together,24221.0,0,0,,94,8.0,9.0,9.0,2.0,5.0,22.0,1,1,1,3,4,0,0,0,0,0,0,3.0,11.0,0,5,55.0,94,,6,1,1,1,111
3710,1984,PhD,Single,39684.0,1,0,2012-12-10,41,19.0,0.0,35.0,6.0,4.0,17.0,2,2,1,2,7,0,0,0,0,0,1,3.0,11.0,1,5,81.0,41,4693.0,5,3,1,2,312
7627,1975,Master,Married,92163.0,0,0,2012-12-12,25,817.0,183.0,797.0,106.0,163.0,20.0,0,5,11,5,2,0,0,1,1,0,0,3.0,11.0,1,21,2086.0,25,4691.0,6,4,5,5,455
4501,1965,Master,Single,69882.0,0,0,2013-10-11,94,292.0,127.0,635.0,132.0,127.0,165.0,1,3,7,9,1,0,0,0,0,0,0,3.0,11.0,0,19,1478.0,94,4388.0,6,1,4,5,145
6424,1977,Graduation,Together,33178.0,1,0,,9,12.0,6.0,2.0,11.0,2.0,16.0,1,1,0,3,4,0,0,0,0,0,0,3.0,11.0,0,4,49.0,9,,6,5,1,1,511
3075,1972,PhD,Married,59973.0,0,0,2013-11-09,47,130.0,30.0,168.0,20.0,34.0,0.0,1,3,4,7,1,0,0,0,0,0,0,3.0,11.0,0,14,382.0,47,4359.0,5,3,3,3,333
4992,1975,Master,Together,17459.0,1,0,,12,6.0,4.0,16.0,3.0,10.0,30.0,3,3,1,2,7,0,0,0,0,0,0,3.0,11.0,1,6,69.0,12,,6,5,2,2,522
5252,1969,Graduation,Divorced,23910.0,1,0,,80,16.0,12.0,18.0,7.0,1.0,13.0,1,2,0,3,7,0,0,0,0,0,0,3.0,11.0,0,5,67.0,80,,6,1,1,2,112
7444,1969,Master,Married,42169.0,1,1,,20,19.0,0.0,9.0,0.0,0.0,2.0,2,1,0,3,8,0,0,0,0,0,0,3.0,11.0,0,4,30.0,20,,3,4,1,1,411
6919,1978,2n Cycle,Married,26224.0,1,0,2013-04-06,39,4.0,7.0,15.0,13.0,9.0,15.0,3,2,1,3,6,0,0,0,0,0,0,3.0,11.0,0,6,63.0,39,4576.0,6,4,2,2,422
3537,1981,Graduation,Together,31089.0,1,0,,57,31.0,3.0,31.0,2.0,8.0,4.0,3,3,0,4,8,0,0,0,0,0,0,3.0,11.0,0,7,79.0,57,,6,3,2,2,322
10277,1961,Graduation,Single,30081.0,0,1,,27,36.0,0.0,2.0,0.0,0.0,4.0,1,1,0,3,7,0,0,0,0,0,0,3.0,11.0,0,4,42.0,27,,3,4,1,1,411
2453,1960,Graduation,Together,62807.0,0,1,,83,526.0,28.0,135.0,10.0,21.0,99.0,3,5,3,12,5,0,0,0,0,0,0,3.0,11.0,0,20,819.0,83,,6,1,4,4,144
7972,1955,Graduation,Single,72906.0,0,0,,79,400.0,32.0,519.0,71.0,75.0,54.0,1,3,4,9,1,0,0,0,0,0,0,3.0,11.0,0,16,1151.0,79,,6,2,4,4,244
895,1948,PhD,Married,61467.0,0,2,2012-09-12,69,410.0,16.0,114.0,0.0,5.0,49.0,3,5,2,10,5,0,0,0,0,0,0,3.0,11.0,0,17,594.0,69,4782.0,5,2,4,3,243
1177,1966,Master,Together,49618.0,1,1,,77,80.0,3.0,26.0,4.0,2.0,14.0,4,3,1,3,7,0,0,0,0,0,0,3.0,11.0,0,7,129.0,77,,6,2,2,2,222
7141,1986,Master,Single,21888.0,1,0,,15,88.0,10.0,46.0,2.0,3.0,64.0,4,5,1,2,10,0,0,0,0,0,0,3.0,11.0,1,8,213.0,15,,6,5,2,3,523
7232,1973,Graduation,Widow,42429.0,0,1,2014-11-02,99,55.0,0.0,6.0,2.0,0.0,4.0,2,1,1,3,5,0,0,0,0,0,0,3.0,11.0,0,5,67.0,99,4001.0,4,1,1,2,112
8477,1956,Graduation,Divorced,26150.0,2,1,2013-11-03,61,5.0,1.0,13.0,3.0,5.0,1.0,1,1,0,3,7,0,0,0,0,0,0,3.0,11.0,0,4,28.0,61,4365.0,6,2,1,1,211
2457,1975,Basic,Married,30801.0,0,1,,23,8.0,4.0,5.0,15.0,2.0,11.0,2,1,0,3,7,0,0,0,0,0,0,3.0,11.0,0,4,45.0,23,,6,4,1,1,411
988,1965,Graduation,Married,81168.0,0,0,2014-07-05,84,410.0,0.0,592.0,147.0,22.0,22.0,1,6,4,7,3,0,0,0,1,0,0,3.0,11.0,0,17,1193.0,84,4121.0,5,1,4,5,145
7930,1969,Master,Single,26877.0,0,0,,74,101.0,13.0,76.0,20.0,18.0,40.0,2,3,1,6,6,0,0,0,0,0,0,3.0,11.0,0,10,268.0,74,,6,2,3,3,233
4587,1944,Master,Widow,45006.0,0,0,,90,162.0,25.0,53.0,16.0,0.0,10.0,1,3,1,7,3,0,0,0,0,0,0,3.0,11.0,0,11,266.0,90,,5,1,3,3,133
6682,1973,Basic,Married,18978.0,1,0,2012-11-12,41,2.0,8.0,1.0,4.0,7.0,15.0,1,1,0,3,8,0,0,0,0,0,0,3.0,11.0,0,4,37.0,41,4721.0,6,3,1,1,311
6222,1967,Graduation,Married,22574.0,2,1,,28,25.0,0.0,8.0,2.0,0.0,2.0,2,2,0,3,7,0,0,0,0,0,0,3.0,11.0,0,5,37.0,28,,4,4,1,1,411
10299,1969,PhD,Single,48240.0,0,0,2012-09-11,73,389.0,91.0,248.0,64.0,49.0,41.0,3,6,3,13,5,0,0,0,0,0,0,3.0,11.0,1,22,882.0,73,4783.0,6,2,5,4,254
3083,1974,Graduation,Married,45837.0,1,1,,88,215.0,13.0,87.0,17.0,17.0,24.0,5,6,2,5,7,0,0,0,0,0,0,3.0,11.0,0,13,373.0,88,,6,1,3,3,133
8953,1965,Master,Single,35791.0,2,1,2013-06-05,94,27.0,0.0,5.0,0.0,0.0,3.0,2,1,0,3,8,0,0,0,0,0,0,3.0,11.0,0,4,35.0,94,4516.0,3,1,1,1,111
1503,1976,PhD,Together,162397.0,1,1,2013-03-06,31,85.0,1.0,16.0,2.0,1.0,2.0,0,0,0,1,1,0,0,0,0,0,0,3.0,11.0,0,1,107.0,31,4607.0,6,4,1,2,412
8650,1978,Graduation,Widow,54162.0,1,1,,31,5.0,6.0,10.0,6.0,5.0,10.0,1,1,0,3,4,0,0,0,0,0,0,3.0,11.0,0,4,42.0,31,,6,4,1,1,411
10862,1960,Master,Married,30522.0,0,1,,6,179.0,8.0,83.0,19.0,11.0,26.0,5,1,2,9,2,0,0,0,0,0,0,3.0,11.0,0,12,326.0,6,,6,5,3,3,533
2782,1961,PhD,Married,54456.0,0,1,2013-11-07,23,352.0,0.0,27.0,10.0,0.0,15.0,3,6,1,7,6,0,0,0,0,0,0,3.0,11.0,0,14,404.0,23,4361.0,4,4,3,3,433
6941,1971,Graduation,Single,31632.0,0,0,,92,17.0,8.0,12.0,11.0,15.0,32.0,1,2,1,2,7,0,0,0,0,0,0,3.0,11.0,0,5,95.0,92,,6,1,1,2,112
10972,1949,Graduation,Widow,72298.0,0,0,2014-10-03,52,625.0,35.0,169.0,58.0,17.0,35.0,1,4,3,6,1,0,1,1,0,0,0,3.0,11.0,0,13,939.0,52,4031.0,6,3,3,4,334
10708,1978,2n Cycle,Single,36975.0,1,0,,50,10.0,6.0,11.0,0.0,4.0,2.0,1,1,0,3,7,0,0,0,0,0,0,3.0,11.0,0,4,33.0,50,,5,3,1,1,311
6583,1955,2n Cycle,Married,72635.0,0,0,2013-03-06,54,390.0,22.0,323.0,104.0,35.0,107.0,1,6,8,6,3,0,0,0,1,0,0,3.0,11.0,0,20,981.0,54,4607.0,6,3,4,4,344
3641,1976,Graduation,Married,13624.0,1,0,,93,10.0,2.0,15.0,2.0,1.0,6.0,2,2,0,3,6,0,0,0,0,0,0,3.0,11.0,0,5,36.0,93,,6,1,1,1,111
10156,1975,Graduation,Single,84196.0,0,1,2013-03-06,56,215.0,63.0,507.0,231.0,31.0,190.0,1,8,4,7,3,0,0,0,0,0,0,3.0,11.0,0,19,1237.0,56,4607.0,6,3,4,5,345
4299,1960,Graduation,Together,70971.0,0,1,,28,1001.0,17.0,572.0,93.0,125.0,17.0,7,11,11,5,7,0,0,0,0,0,0,3.0,11.0,1,27,1825.0,28,,6,4,5,5,455
3469,1977,PhD,Divorced,34487.0,1,1,2012-06-09,94,19.0,18.0,33.0,24.0,1.0,8.0,3,3,0,3,9,0,0,0,0,0,0,3.0,11.0,0,6,103.0,94,4877.0,6,1,2,2,122
5063,1977,Graduation,Single,28769.0,1,0,,76,41.0,5.0,129.0,10.0,3.0,3.0,3,4,1,4,9,0,0,0,0,0,0,3.0,11.0,0,9,191.0,76,,6,2,3,2,232
10727,1970,PhD,Married,69084.0,1,0,,43,1181.0,107.0,199.0,39.0,30.0,30.0,2,7,3,13,8,0,0,0,0,0,0,3.0,11.0,0,23,1586.0,43,,6,3,5,5,355
9624,1958,PhD,Together,65488.0,0,0,,46,603.0,45.0,207.0,36.0,18.0,54.0,1,3,4,6,1,0,0,0,0,0,0,3.0,11.0,0,13,963.0,46,,6,3,3,4,334
5156,1970,2n Cycle,Married,62466.0,0,1,,13,129.0,129.0,259.0,168.0,121.0,83.0,5,6,3,12,4,0,0,0,0,0,0,3.0,11.0,0,21,889.0,13,,6,5,5,4,554
4376,1960,2n Cycle,Single,32218.0,0,0,,27,10.0,24.0,15.0,13.0,1.0,30.0,1,2,1,3,7,1,0,0,0,0,0,3.0,11.0,1,6,93.0,27,,6,4,2,2,422
8923,1973,Graduation,Single,83917.0,0,0,,12,514.0,22.0,732.0,42.0,198.0,79.0,1,6,7,7,3,0,0,0,0,0,0,3.0,11.0,1,20,1587.0,12,,6,5,4,5,545
8461,1962,Graduation,Divorced,46102.0,2,1,2014-10-03,3,14.0,0.0,1.0,0.0,0.0,1.0,1,1,0,2,7,0,0,0,0,0,0,3.0,11.0,0,3,16.0,3,4031.0,3,5,1,1,511
6945,1952,Graduation,Single,84574.0,0,0,2013-04-06,72,387.0,20.0,713.0,38.0,54.0,163.0,1,9,11,11,5,0,0,0,0,0,0,3.0,11.0,0,31,1375.0,72,4576.0,6,2,5,5,255
944,1962,Graduation,Married,56181.0,0,1,2013-08-01,6,121.0,103.0,69.0,8.0,44.0,48.0,1,4,2,7,4,0,0,0,0,0,0,3.0,11.0,0,13,393.0,6,4459.0,6,5,3,3,533
1907,1950,Master,Divorced,63120.0,0,1,,53,965.0,69.0,279.0,54.0,41.0,69.0,5,8,4,9,7,0,0,0,0,0,0,3.0,11.0,1,21,1477.0,53,,6,3,5,5,355
701,1971,Graduation,Married,73691.0,0,1,2013-06-11,58,707.0,21.0,250.0,85.0,43.0,73.0,2,6,2,8,2,1,0,0,0,0,0,3.0,11.0,0,16,1179.0,58,4510.0,6,3,4,5,345
3856,1960,Graduation,Together,63381.0,0,1,2012-05-10,78,571.0,50.0,142.0,33.0,50.0,159.0,4,4,5,13,2,0,0,0,0,0,0,3.0,11.0,0,22,1005.0,78,4907.0,6,2,5,4,254
4149,1948,PhD,Together,76140.0,0,0,,57,586.0,66.0,653.0,17.0,0.0,26.0,1,5,9,6,2,0,0,0,0,0,0,3.0,11.0,0,20,1348.0,57,,5,3,4,5,345
2131,1959,PhD,Divorced,62859.0,0,1,,37,1063.0,89.0,102.0,16.0,12.0,25.0,4,9,4,6,6,0,0,0,0,0,0,3.0,11.0,0,19,1307.0,37,,6,4,4,5,445
2942,1964,Graduation,Single,45906.0,0,1,2013-07-05,20,305.0,3.0,27.0,4.0,3.0,144.0,2,5,4,4,5,1,0,0,0,0,0,3.0,11.0,0,13,486.0,20,4486.0,6,4,3,3,433
1173,1947,Master,Together,77632.0,0,0,2013-10-03,73,1200.0,105.0,758.0,0.0,42.0,147.0,1,4,2,6,2,0,1,1,0,0,0,3.0,11.0,1,12,2252.0,73,4396.0,5,2,3,5,235
4381,1971,PhD,Married,46463.0,1,1,,56,163.0,2.0,40.0,8.0,11.0,11.0,7,3,1,6,6,0,0,0,0,0,0,3.0,11.0,0,10,235.0,56,,6,3,3,3,333
4611,1970,Graduation,Together,105471.0,0,0,,36,1009.0,181.0,104.0,202.0,21.0,207.0,0,9,8,13,3,0,0,1,1,0,0,3.0,11.0,1,30,1724.0,36,,6,4,5,5,455
3376,1970,Master,Divorced,55282.0,1,0,,9,125.0,6.0,73.0,8.0,4.0,19.0,1,3,1,6,4,0,0,0,0,0,0,3.0,11.0,0,10,235.0,9,,6,5,3,3,533
4679,1977,Master,Married,78710.0,0,1,,42,721.0,0.0,152.0,119.0,50.0,50.0,3,7,6,12,4,0,0,0,0,0,0,3.0,11.0,0,25,1092.0,42,,5,3,5,4,354
10928,1958,Graduation,Together,66886.0,0,1,,28,315.0,4.0,62.0,41.0,31.0,146.0,2,7,1,7,5,0,0,0,0,0,0,3.0,11.0,0,15,599.0,28,,6,4,3,3,433
4248,1960,Master,Single,98777.0,0,0,,23,1000.0,19.0,711.0,125.0,115.0,38.0,0,4,6,9,1,0,1,0,0,0,0,3.0,11.0,0,19,2008.0,23,,6,4,4,5,445
6728,1985,Graduation,Together,29103.0,1,0,,38,16.0,0.0,17.0,6.0,3.0,6.0,2,1,0,3,9,0,0,0,0,0,0,3.0,11.0,0,4,48.0,38,,5,4,1,1,411
6661,1974,Graduation,Married,67445.0,0,1,2012-12-08,63,757.0,80.0,217.0,29.0,80.0,11.0,5,9,6,12,6,0,0,0,0,0,0,3.0,11.0,0,27,1174.0,63,4695.0,6,2,5,5,255
4725,1950,PhD,Together,50616.0,0,1,,71,30.0,2.0,25.0,0.0,1.0,9.0,1,1,1,4,2,0,0,0,0,0,0,3.0,11.0,0,6,67.0,71,,5,2,2,2,222
3277,1955,Graduation,Divorced,49431.0,0,1,2012-03-08,9,219.0,3.0,100.0,26.0,0.0,17.0,2,7,1,5,8,0,0,0,0,0,0,3.0,11.0,0,13,365.0,9,4970.0,5,5,3,3,533
5555,1975,Graduation,Divorced,153924.0,0,0,2014-07-02,81,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,3.0,11.0,0,0,6.0,81,4124.0,6,1,1,1,111
2564,1953,Graduation,Together,61278.0,0,1,2014-04-01,87,111.0,3.0,28.0,2.0,6.0,15.0,2,3,1,4,6,0,0,0,0,0,0,3.0,11.0,0,8,165.0,87,4216.0,6,1,2,2,122
946,1958,2n Cycle,Together,26490.0,0,0,,92,45.0,47.0,52.0,21.0,20.0,25.0,2,3,1,5,6,0,0,0,0,0,0,3.0,11.0,0,9,210.0,92,,6,1,3,3,133
3867,1947,PhD,Together,73059.0,0,1,,36,410.0,112.0,420.0,0.0,82.0,71.0,1,9,3,13,4,0,0,0,0,0,0,3.0,11.0,0,25,1095.0,36,,5,4,5,4,454
6940,1966,PhD,Single,46734.0,1,2,,86,100.0,1.0,39.0,6.0,1.0,76.0,4,3,2,3,6,1,0,0,0,0,0,3.0,11.0,0,8,223.0,86,,6,1,2,3,123
55,1963,Graduation,Together,56253.0,0,1,2012-07-12,83,509.0,0.0,65.0,7.0,11.0,5.0,4,7,2,9,6,0,0,0,0,0,0,3.0,11.0,0,18,597.0,83,4844.0,5,1,4,3,143
7093,1985,Graduation,Married,19986.0,1,0,,74,3.0,6.0,5.0,0.0,2.0,6.0,1,0,0,3,7,0,0,0,0,0,0,3.0,11.0,0,3,22.0,74,,5,2,1,1,211
5084,1975,Graduation,Widow,58330.0,0,1,,87,445.0,53.0,213.0,104.0,98.0,151.0,1,6,4,13,4,0,0,0,0,0,0,3.0,11.0,0,23,1064.0,87,,6,1,5,4,154
1777,1980,Basic,Married,25965.0,0,0,2012-07-09,29,2.0,2.0,11.0,41.0,7.0,11.0,1,2,0,3,8,0,0,0,0,0,0,3.0,11.0,0,5,74.0,29,4847.0,6,4,1,2,412
8162,1956,Master,Together,14661.0,0,0,2013-01-01,88,4.0,1.0,11.0,6.0,2.0,2.0,1,1,0,3,6,0,0,0,0,0,0,3.0,11.0,0,4,26.0,88,4671.0,6,1,1,1,111
10826,1959,Graduation,Married,18690.0,0,0,,77,6.0,1.0,7.0,23.0,4.0,19.0,1,1,1,2,8,0,0,0,0,0,0,3.0,11.0,0,4,60.0,77,,6,2,1,2,212
8754,1974,PhD,Together,45068.0,0,1,,25,14.0,0.0,3.0,0.0,0.0,3.0,1,1,0,2,7,0,0,0,0,0,0,3.0,11.0,0,3,20.0,25,,3,4,1,1,411
1987,1987,Basic,Single,21063.0,1,0,,34,1.0,10.0,11.0,19.0,3.0,15.0,2,2,0,3,6,0,0,0,0,0,0,3.0,11.0,0,5,59.0,34,,6,4,1,2,412
11007,1968,PhD,Married,29187.0,1,0,2013-09-05,43,26.0,0.0,6.0,0.0,0.0,2.0,1,1,0,3,8,0,0,0,0,0,0,3.0,11.0,0,4,34.0,43,4424.0,3,3,1,1,311
7426,1971,2n Cycle,Married,54690.0,1,1,2013-07-11,76,111.0,16.0,37.0,7.0,9.0,18.0,3,3,1,5,3,0,0,0,0,0,0,3.0,11.0,0,9,198.0,76,4480.0,6,2,3,3,233
9153,1964,PhD,Married,59304.0,0,1,,81,418.0,61.0,428.0,80.0,51.0,10.0,3,7,8,10,5,0,0,0,0,0,0,3.0,11.0,0,25,1048.0,81,,6,1,5,4,154
10379,1962,Master,Single,59247.0,0,2,2013-08-11,87,327.0,9.0,122.0,19.0,14.0,83.0,5,5,2,9,6,0,0,0,0,0,0,3.0,11.0,0,16,574.0,87,4449.0,6,1,4,3,143
9204,1970,Graduation,Widow,66731.0,0,1,2012-12-09,33,371.0,159.0,194.0,58.0,106.0,141.0,4,4,3,6,3,0,0,0,0,0,0,3.0,11.0,0,13,1029.0,33,4694.0,6,4,3,4,434
3197,1980,Graduation,Married,77353.0,0,1,,38,275.0,59.0,107.0,69.0,101.0,59.0,2,6,4,8,4,0,0,0,0,0,0,3.0,11.0,0,18,670.0,38,,6,4,4,4,444
2920,1975,PhD,Single,52614.0,0,1,2012-01-12,63,789.0,0.0,142.0,12.0,9.0,38.0,2,2,4,8,8,0,0,0,0,0,0,3.0,11.0,0,14,990.0,63,5026.0,5,2,3,4,234
6961,1974,Graduation,Married,26751.0,2,0,,26,1.0,1.0,5.0,0.0,3.0,1.0,1,1,0,2,8,0,0,0,0,0,0,3.0,11.0,0,3,11.0,26,,5,4,1,1,411
4673,1963,PhD,Married,81300.0,0,1,,17,1004.0,12.0,145.0,32.0,12.0,36.0,3,10,3,5,5,0,0,0,1,0,0,3.0,11.0,1,18,1241.0,17,,6,5,4,5,545
9937,1979,Graduation,Single,70337.0,0,0,2014-02-01,75,187.0,81.0,149.0,25.0,43.0,91.0,1,2,2,12,1,0,0,0,0,0,0,3.0,11.0,0,16,576.0,75,4275.0,6,2,4,3,243
8779,1985,2n Cycle,Married,36145.0,1,0,,13,56.0,4.0,76.0,17.0,1.0,18.0,4,4,1,3,9,1,0,0,0,0,0,3.0,11.0,1,8,172.0,13,,6,5,2,2,522
9596,1980,PhD,Single,65295.0,0,0,,19,365.0,32.0,117.0,34.0,110.0,6.0,1,3,3,13,2,0,0,0,0,0,0,3.0,11.0,0,19,664.0,19,,6,5,4,4,544
2891,1963,Graduation,Divorced,68118.0,0,1,,51,595.0,23.0,123.0,10.0,23.0,154.0,2,8,9,4,6,0,0,0,0,0,0,3.0,11.0,0,21,928.0,51,,6,3,5,4,354
4910,1967,Graduation,Divorced,68743.0,0,0,,81,1132.0,134.0,384.0,175.0,134.0,115.0,1,11,5,13,7,0,0,0,0,0,0,3.0,11.0,0,29,2074.0,81,,6,1,5,5,155
75,1982,2n Cycle,Together,41039.0,0,0,,32,34.0,11.0,137.0,179.0,61.0,45.0,1,8,1,5,8,0,0,0,0,0,0,3.0,11.0,0,14,467.0,32,,6,4,3,3,433
10120,1955,Graduation,Together,38946.0,0,1,,84,116.0,6.0,82.0,6.0,6.0,41.0,2,3,1,6,5,0,0,0,0,0,0,3.0,11.0,0,10,257.0,84,,6,1,3,3,133
6327,1967,Graduation,Together,65777.0,0,0,,87,565.0,32.0,435.0,28.0,32.0,54.0,1,2,8,6,1,0,0,0,0,0,0,3.0,11.0,0,16,1146.0,87,,6,1,4,4,144
10142,1976,PhD,Divorced,66476.0,0,1,2013-07-03,99,372.0,18.0,126.0,47.0,48.0,78.0,2,5,2,11,4,0,0,0,0,0,0,3.0,11.0,0,18,689.0,99,4488.0,6,1,4,4,144
9826,1972,PhD,Single,86857.0,0,0,2012-12-09,96,899.0,102.0,838.0,133.0,102.0,40.0,1,5,6,10,2,0,0,0,0,0,0,3.0,11.0,1,21,2114.0,96,4694.0,6,1,5,5,155
1501,1982,PhD,Married,160803.0,0,0,2012-04-08,21,55.0,16.0,1622.0,17.0,3.0,4.0,15,0,28,1,0,0,0,0,0,0,0,3.0,11.0,0,29,1717.0,21,4939.0,6,4,5,5,455
10767,1989,PhD,Together,77845.0,0,0,,40,760.0,40.0,480.0,0.0,40.0,26.0,1,3,5,12,1,0,0,1,1,0,0,3.0,11.0,0,20,1346.0,40,,5,3,4,5,345
7279,1969,PhD,Together,69476.0,0,0,,3,260.0,86.0,559.0,63.0,9.0,67.0,1,4,6,4,2,0,0,0,0,0,0,3.0,11.0,0,14,1044.0,3,,6,5,3,4,534
7230,1960,PhD,Divorced,50611.0,0,1,2012-04-10,98,459.0,0.0,24.0,6.0,0.0,4.0,6,4,5,7,6,0,1,0,0,0,0,3.0,11.0,1,16,493.0,98,4937.0,4,1,4,3,143
143,1970,Graduation,Single,61209.0,0,0,,73,466.0,0.0,224.0,119.0,49.0,99.0,1,5,3,4,2,0,0,0,0,0,0,3.0,11.0,0,12,957.0,73,,5,2,3,4,234
450,1958,Master,Together,42315.0,0,1,2013-12-07,90,67.0,15.0,80.0,17.0,11.0,80.0,3,1,4,4,3,0,0,0,0,0,0,3.0,11.0,0,9,270.0,90,4331.0,6,1,3,3,133
9316,1952,Basic,Together,13084.0,0,0,2013-02-11,29,2.0,0.0,7.0,3.0,7.0,10.0,1,1,0,3,6,0,0,0,0,0,0,3.0,11.0,0,4,29.0,29,4630.0,5,4,1,1,411
6379,1949,Master,Widow,47570.0,1,1,,3,67.0,1.0,20.0,0.0,2.0,31.0,3,2,2,2,7,0,0,0,0,0,0,3.0,11.0,1,6,121.0,3,,5,5,2,2,522
9239,1961,Master,Married,61923.0,0,2,,94,92.0,4.0,18.0,3.0,3.0,6.0,1,2,1,4,3,0,0,0,0,0,0,3.0,11.0,0,7,126.0,94,,6,1,2,2,122
8315,1995,Graduation,Single,34824.0,0,0,,65,4.0,2.0,11.0,2.0,0.0,4.0,1,1,0,2,6,0,0,0,0,0,0,3.0,11.0,0,3,23.0,65,,5,2,1,1,211
2868,1949,PhD,Single,26518.0,1,1,2013-08-04,33,20.0,1.0,28.0,3.0,3.0,2.0,3,2,0,3,8,0,0,0,0,0,0,3.0,11.0,1,5,57.0,33,4456.0,6,4,1,2,412
10888,1961,Graduation,Single,45938.0,0,0,2013-03-11,46,273.0,11.0,178.0,62.0,83.0,29.0,2,8,4,6,6,0,0,0,0,0,0,3.0,11.0,0,18,636.0,46,4602.0,6,3,4,4,344
1277,1960,Graduation,Together,78468.0,0,0,2014-09-04,29,434.0,22.0,388.0,104.0,22.0,34.0,1,10,7,10,4,0,0,0,1,0,0,3.0,11.0,0,27,1004.0,29,4060.0,6,4,5,4,454
9977,1973,Graduation,Divorced,78901.0,0,1,,99,321.0,11.0,309.0,33.0,26.0,34.0,3,9,3,5,4,0,0,0,0,0,0,3.0,11.0,0,17,734.0,99,,6,1,4,4,144
10196,1978,Graduation,Married,71427.0,2,0,2014-12-03,26,212.0,123.0,177.0,15.0,64.0,23.0,2,8,2,8,4,0,0,0,0,0,0,3.0,11.0,0,18,614.0,26,3970.0,6,4,4,3,443
6384,1978,Graduation,Divorced,71022.0,0,1,2014-11-02,30,909.0,12.0,278.0,0.0,12.0,242.0,3,5,2,11,8,1,0,0,0,0,0,3.0,11.0,0,18,1453.0,30,4001.0,5,4,4,5,445
8029,1988,Master,Single,90247.0,0,0,,27,1184.0,32.0,352.0,21.0,16.0,16.0,1,3,4,7,1,0,1,1,1,0,0,3.0,11.0,1,14,1621.0,27,,6,4,3,5,435
968,1968,Master,Divorced,41335.0,1,0,,24,112.0,19.0,21.0,16.0,14.0,5.0,3,4,1,4,7,0,0,0,0,0,0,3.0,11.0,0,9,187.0,24,,6,4,3,2,432
6988,1986,Graduation,Married,71952.0,1,0,2013-10-01,93,656.0,80.0,455.0,52.0,107.0,93.0,2,8,4,8,4,1,0,1,0,0,0,3.0,11.0,0,20,1443.0,93,4398.0,6,1,5,5,155
4472,1970,PhD,Divorced,35682.0,1,0,,34,23.0,0.0,8.0,6.0,2.0,18.0,1,1,1,3,2,0,0,0,0,0,0,3.0,11.0,0,5,57.0,34,,5,4,1,2,412
6991,1951,Graduation,Divorced,43185.0,0,1,2013-10-04,88,537.0,6.0,42.0,16.0,6.0,30.0,2,9,3,6,8,0,0,0,0,0,0,3.0,11.0,0,18,637.0,88,4395.0,6,1,4,4,144
3336,1948,PhD,Together,66375.0,0,1,,96,712.0,0.0,45.0,0.0,0.0,191.0,3,2,4,5,7,1,0,0,0,0,0,3.0,11.0,0,11,948.0,96,,3,1,3,4,134
4301,1971,Master,Married,35178.0,1,0,2013-10-01,10,23.0,1.0,13.0,2.0,2.0,18.0,1,1,1,2,7,1,0,0,0,0,0,3.0,11.0,1,4,59.0,10,4398.0,6,5,1,2,512
1940,1986,Graduation,Married,25252.0,1,0,2013-12-07,26,1.0,3.0,4.0,2.0,2.0,6.0,1,1,0,2,8,0,0,0,0,0,0,3.0,11.0,0,3,18.0,26,4331.0,6,4,1,1,411
